,Custom_Difference,Matched_Rows
"('VT20', '20180222-57WIooVL-VT__R6F19_RN1RP3')",75.9323618327923,69027
"('VT21', '20180222-57OOooVH-VT__R8F11_RN1RP3')",76.06514795982447,67130
"('VT25', '20180222-57WIooVL-VT__R6F19_RN1RP3')",76.13507818461734,67188
"('VT35', '20180222-57WIooVL-VT__R6F17_RN1RP1')",76.29168025126818,62982
"('VT35', '20180222-57WIooVH-VT__R6F16_RN1RP3')",76.31712408954016,63617
"('VT19', '20180222-57NYooVH-VT__R7F2_RN1RP3')",76.32987874932509,69071
"('VT24', '20180222-57NYsaVH-VT__R6F8_RN1RP1')",76.9499999879007,68414
"('VT26', '20180222-57NYsaVH-VT__R6F8_RN1RP1')",77.02091208385097,68064
"('VT34', '20180222-57WIooVL-VT__R6F19_RN1RP3')",77.0361916937701,59338
"('VT23', '20180222-57NYsaVH-VT__R6F8_RN1RP1')",77.08059518700585,68272
"('VT19', '20180222-57OOooVH-VT__R7F3_RN1RP1')",77.13473481784004,67272
"('VT20', '20180222-57WIsaVL-VT__R6F5_RN1RP2')",77.1646832522689,70565
"('VT24', '20180222-57OOsaVH-VT__R6F11_RN1RP1')",77.85408046600175,68906
"('VT19', '20180222-57NYsaVH-VT__R6F8_RN1RP1')",78.15332116478747,69298
"('VT35', '20180222-57NYsaVH-VT__R6F9_RN1RP2')",78.71079768531119,64806
"('VT26', '20180222-57OOsaVH-VT__R6F11_RN1RP1')",78.840424894316,68748
"('VT35', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",78.87584432314712,64353
"('VT21', '20180222-57OOooVH-VT__R7F3_RN1RP1')",78.94726262390438,67180
"('VT23', '20180222-57OOsaVH-VT__R6F11_RN1RP1')",79.09414358463627,68925
"('VT21', '20180222-57NYooVH-VT__R7F2_RN1RP3')",79.247245369363,69085
"('VT24', '20180222-57WIsaVL-VT__R6F5_RN1RP2')",79.49402022376488,68404
"('VT26', '20180222-57WIsaVL-VT__R6F5_RN1RP2')",79.49839672680727,68130
"('VT19', '20180222-57OOsaVH-VT__R6F11_RN1RP1')",79.84505201945002,69878
"('VT25', '20180222-70OOooVH-VT__R7F4_RN1RP3')",79.8460402511179,65934
"('VT32', '20180222-57WIooVL-VT__R6F19_RN1RP3')",79.86388374133023,58382
"('VT23', '20180222-57WIsaVL-VT__R6F5_RN1RP2')",80.00652236200571,68255
"('VT35', '20180222-57OOooVH-VT__R8F11_RN1RP3')",80.54179943433222,61880
"('VT35', '20180222-57OOsaVH-VT__R6F12_RN1RP2')",80.71652801715632,65411
"('VT29', '20180222-57WIooVL-VT__R6F17_RN1RP1')",80.71754704443133,62266
"('VT35', '20180222-57WIsaVL-VT__R6F6_RN1RP3')",80.78471160450333,64789
"('VT21', '20180222-57NYsaVH-VT__R6F8_RN1RP1')",80.88273743547244,69246
"('VT19', '20180222-57WIsaVL-VT__R6F5_RN1RP2')",80.90362731013043,69381
"('VT27', '20180222-70OOooVH-VT__R7F4_RN1RP3')",81.11751081393359,65901
"('VT22', '20180222-70OOooVH-VT__R7F4_RN1RP3')",81.11938892938053,66395
"('VT29', '20180222-57WIooVH-VT__R6F16_RN1RP3')",81.2404114652977,62912
"('VT31', '20180222-57WIooVL-VT__R6F19_RN1RP3')",81.44275619073194,58070
"('VT35', '20180222-57NYooVH-VT__R7F1_RN1RP2')",81.67116619423392,64682
"('VT35', '20180222-57WIooVL-VT__R6F18_RN1RP2')",81.67774475477975,63114
"('VT35', '20180222-57NYsaVH-VT__R6F10_RN1RP3')",81.77406614913532,64895
"('VT21', '20180222-57OOsaVH-VT__R6F11_RN1RP1')",82.69440665884683,69779
"('VT21', '20180222-57WIsaVL-VT__R6F5_RN1RP2')",83.10910336396476,69310
"('VT35', '20180222-57WIsaVL-VT__R6F4_RN1RP1')",83.56084084097866,64912
"('VT34', '20180222-57WIooVH-VT__R6F15_RN1RP2')",83.65344970350249,60432
"('VT20', '20180222-70OOooVH-VT__R7F4_RN1RP3')",83.69286481363591,68034
"('VT29', '20180222-57NYsaVH-VT__R6F9_RN1RP2')",83.8665137043222,64148
"('VT29', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",83.8691713094038,63739
"('VT26', '20180222-70OOooVH-VT__R7F4_RN1RP3')",84.39228650942489,64352
"('VT24', '20180222-70OOooVH-VT__R7F4_RN1RP3')",84.4834153910918,64965
"('VT29', '20180222-57OOooVH-VT__R8F11_RN1RP3')",85.05710057842461,61109
"('VT23', '20180222-70OOooVH-VT__R7F4_RN1RP3')",85.11949552851786,64824
"('VT34', '20180222-57NYooVH-VT__R6F20_RN1RP1')",85.15939699371714,61561
"('VT35', '20180222-57OOsaVH-VT__R6F13_RN1RP3')",85.4823713230997,65627
"('VT30', '20180222-57WIooVL-VT__R6F19_RN1RP3')",85.88924074499559,57157
"('VT35', '20180222-57WIooVH-VT__R6F14_RN1RP1')",85.9845851875557,63899
"('VT29', '20180222-57OOsaVH-VT__R6F12_RN1RP2')",86.01164607067082,64820
"('VT29', '20180222-57WIsaVL-VT__R6F6_RN1RP3')",86.59388769351285,64022
"('VT29', '20180222-57NYsaVH-VT__R6F10_RN1RP3')",86.64510327194893,64290
"('VT19', '20180222-70OOooVH-VT__R7F4_RN1RP3')",86.81680384934907,66248
"('VT35', '20180222-57WIsaVH-VT__R6F1_RN1RP1')",87.07911036225093,64668
"('VT35', '20180222-57WIsaVH-VT__R6F3_RN1RP3')",87.45831714443585,64693
"('VT29', '20180222-57WIooVL-VT__R6F18_RN1RP2')",87.49511031837358,62438
"('VT32', '20180222-57WIooVH-VT__R6F15_RN1RP2')",88.09167452642379,59564
"('VT29', '20180222-57NYooVH-VT__R7F1_RN1RP2')",88.67573039218198,64108
"('VT21', '20180222-70OOooVH-VT__R7F4_RN1RP3')",89.11666544550656,66087
"('VT28', '20180222-57WIooVL-VT__R6F19_RN1RP3')",89.36220386425829,56583
"('VT29', '20180222-57WIsaVL-VT__R6F4_RN1RP1')",89.82703147440552,64190
"('VT32', '20180222-57NYooVH-VT__R6F20_RN1RP1')",91.36632654824555,60775
"('VT31', '20180222-57WIooVH-VT__R6F15_RN1RP2')",91.42391616589146,59243
"('VT29', '20180222-57OOsaVH-VT__R6F13_RN1RP3')",91.50731809595008,65032
"('VT35', '20180222-57OOooVH-VT__R7F3_RN1RP1')",92.08592230753752,62009
"('VT29', '20180222-57WIooVH-VT__R6F14_RN1RP1')",92.83824408141481,63225
"('VT34', '20180222-57WIooVL-VT__R6F17_RN1RP1')",93.09715728144745,60138
"('VT31', '20180222-57NYooVH-VT__R6F20_RN1RP1')",93.51580408169767,60555
"('VT29', '20180222-57WIsaVH-VT__R6F3_RN1RP3')",94.45030079865032,64088
"('VT29', '20180222-57WIsaVH-VT__R6F1_RN1RP1')",94.70731636188755,64082
"('VT34', '20180222-57WIooVH-VT__R6F16_RN1RP3')",94.97089122450927,60876
"('VT30', '20180222-57WIooVH-VT__R6F15_RN1RP2')",97.88504161361425,58487
"('VT34', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",98.28150584637764,61867
"('VT34', '20180222-57OOooVH-VT__R8F11_RN1RP3')",99.19778779369267,58611
"('VT33', '20180222-57WIooVL-VT__R6F19_RN1RP3')",99.3266991326753,55275
"('VT29', '20180222-57OOooVH-VT__R7F3_RN1RP1')",99.3657868734324,61261
"('VT10', '20180222-71NYsaSL-VV__R2F8_RN2RP1')",99.66213799221612,2329
"('VT15', '20180222-71WIsaSL-VV__R2F1_RN2RP1')",99.74804031354984,2150
"('VT9', '20180222-71NYsaSL-VV__R2F8_RN2RP1')",99.78553239812507,2433
"('VT9', '20180222-71WIsaSL-VV__R2F1_RN2RP1')",99.81510829371368,2256
"('VT7', '20180222-71WIsaSL-VV__R2F1_RN2RP1')",99.8322597960279,2842
"('VT6', '20180222-71WIsaSL-VV__R2F3_RN2RP3')",99.84360518999074,2522
"('VT12', '20180222-71WIsaSL-VV__R2F1_RN2RP1')",99.84726995036273,2112
"('VT1', '20180222-71WIsaSL-VV__R2F3_RN2RP3')",99.85067197610752,2371
"('VT15', '20180222-71WIsaSL-VV__R2F2_RN2RP2')",99.86002239641657,2141
"('VT14', '20180222-71WIsaSL-VV__R2F1_RN2RP1')",99.86719787516599,2123
"('VT9', '20180222-71WIsaSL-VV__R2F3_RN2RP3')",99.86793449550977,2257
"('VT13', '20180222-71OOooPA-VV__R5F2_RN1RP2')",99.87628137150936,2001
"('VT19', '20180222-71NYsaSL-VV__R2F8_RN2RP1')",99.87850309093618,65630
"('VT18', '20180222-71OOooPA-VV__R5F1_RN1RP1')",99.88235294117646,2657
"('VT5', '20180222-71WIsaSL-VV__R2F2_RN2RP2')",99.88331388564761,2069
"('VT14', '20180222-71NYsaSL-VV__R2F8_RN2RP1')",99.88421480965323,2294
"('VT25', '20180222-71NYsaSL-VV__R2F8_RN2RP1')",99.88443203928892,65395
"('VT3', '20180222-71NYsaSL-VV__R2F8_RN2RP1')",99.88851551527166,2222
"('VT31', '20180222-71NYsaSL-VV__R2F8_RN2RP1')",99.88861272416594,50711
"('VT11', '20180222-71OOooPA-VV__R5F1_RN1RP1')",99.88901220865705,1912
"('VT11', '20180222-71WIsaSL-VV__R2F3_RN2RP3')",99.88901220865705,2168
"('VT17', '20180222-71NYsaSL-VV__R2F8_RN2RP1')",99.88930780114448,2377
"('VT2', '20180222-71NYsaSL-VV__R2F8_RN2RP1')",99.8933802883719,2445
"('VT13', '20180222-71OOooPA-VV__R5F1_RN1RP1')",99.89395546129374,1995
"('VT13', '20180222-71OOooPA-VV__R5F3_RN1RP3')",99.89395546129374,2005
"('VT2', '20180222-71WIsaSL-VV__R2F1_RN2RP1')",99.89501312335958,2269
"('VT1', '20180222-71OOooPA-VV__R5F1_RN1RP1')",99.90044798407168,2118
"('VT29', '20180222-71NYsaSL-VV__R2F8_RN2RP1')",99.90174018207968,57251
"('VT6', '20180222-71NYsaSL-VV__R2F8_RN2RP1')",99.90560532729208,2699
"('VT11', '20180222-71WIsaSL-VV__R2F1_RN2RP1')",99.91675915649279,2168
"('VT2', '20180222-71WIsaSL-VV__R2F2_RN2RP2')",99.92125984251969,2261
"('VT18', '20180222-71OOooPA-VV__R5F3_RN1RP3')",99.92156862745098,2668
"('VT13', '20180222-71WIsaSL-VV__R2F1_RN2RP1')",99.9293036408625,2248
"('VT3', '20180222-71WIsaSL-VV__R2F1_RN2RP1')",99.93063812921127,2048
