,Positive,Negative,Proportion
"('VT17', '20180222-71WIsaSL-VV__R2F1_RN2RP1')",76513,2199,0.9720627096249619
"('VT9', '20180222-24WIooVL-VG__R9F3_RN1RP2')",76512,2200,0.9720500050818173
"('VT13', '20180222-24OOooVH-VG__R9F11_RN1RP3')",76511,2201,0.9720373005386727
"('VT9', '20180222-24NYooVH-VG__R9F5_RN1RP1')",76511,2201,0.9720373005386727
"('VT8', '20180222-24NYooVH-VG__R9F5_RN1RP1')",76510,2202,0.972024595995528
"('VT8', '20180222-24WIooVL-VG__R9F3_RN1RP2')",76510,2202,0.972024595995528
"('VT8', '20180222-24NYooVH-VG__R9F6_RN1RP2')",76509,2203,0.9720118914523834
"('VT9', '20180222-24NYooVH-VG__R9F6_RN1RP2')",76509,2203,0.9720118914523834
"('VT4', '20180222-71OOooPA-VV__R5F2_RN1RP2')",76509,2203,0.9720118914523834
"('VT17', '20180222-71WIsaSL-VV__R2F3_RN2RP3')",76509,2203,0.9720118914523834
"('VT12', '20180222-24WIooVH-VG__R5F10_RN1RP1')",76508,2204,0.9719991869092387
"('VT11', '20180222-24WIooVH-VG__R9F1_RN1RP3')",76508,2204,0.9719991869092387
"('VT13', '20180222-24WIooVL-VG__R9F2_RN1RP1')",76507,2205,0.9719864823660941
"('VT14', '20180222-24WIooVH-VG__R5F11_RN1RP2')",76507,2205,0.9719864823660941
"('VT9', '20180222-24NYooVH-VG__R9F8_RN1RP3')",76507,2205,0.9719864823660941
"('VT13', '20180222-24OOooVH-VG__R9F10_RN1RP2')",76507,2205,0.9719864823660941
"('VT9', '20180222-24OOooVH-VG__R9F11_RN1RP3')",76506,2206,0.9719737778229495
"('VT8', '20180222-24NYooVH-VG__R9F8_RN1RP3')",76506,2206,0.9719737778229495
"('VT13', '20180222-24OOooVH-VG__R9F9_RN1RP1')",76506,2206,0.9719737778229495
"('VT8', '20180222-24OOooVH-VG__R9F11_RN1RP3')",76504,2208,0.9719483687366602
"('VT4', '20180222-71OOooPA-VV__R5F3_RN1RP3')",76503,2209,0.9719356641935156
"('VT9', '20180222-24OOooVH-VG__R9F10_RN1RP2')",76502,2210,0.971922959650371
"('VT17', '20180222-24WIsaVH-VG__R3F11_RN1RP3')",76502,2210,0.971922959650371
"('VT9', '20180222-24OOooVH-VG__R9F9_RN1RP1')",76501,2211,0.9719102551072264
"('VT2', '20180222-24WIooVL-VG__R9F3_RN1RP2')",76500,2212,0.9718975505640817
"('VT8', '20180222-24OOooVH-VG__R9F10_RN1RP2')",76500,2212,0.9718975505640817
"('VT3', '20180222-71WIsaSV-VV__R2F4_RN2RP1')",76499,2213,0.971884846020937
"('VT8', '20180222-24OOooVH-VG__R9F9_RN1RP1')",76499,2213,0.971884846020937
"('VT9', '20180222-24WIooVL-VG__R9F2_RN1RP1')",76498,2214,0.9718721414777924
"('VT14', '20180222-24WIooVH-VG__R5F10_RN1RP1')",76497,2215,0.9718594369346478
"('VT2', '20180222-24NYooVH-VG__R9F5_RN1RP1')",76497,2215,0.9718594369346478
"('VT17', '20180222-24WIsaVH-VG__R3F9_RN1RP1')",76497,2215,0.9718594369346478
"('VT13', '20180222-24WIooVL-VG__R9F4_RN1RP3')",76496,2216,0.9718467323915032
"('VT8', '20180222-24WIooVL-VG__R9F2_RN1RP1')",76495,2217,0.9718340278483586
"('VT2', '20180222-24NYooVH-VG__R9F6_RN1RP2')",76495,2217,0.9718340278483586
"('VT6', '20180222-71WIooPA-VV__R2F19_RN2RP2')",76494,2218,0.971821323305214
"('VT2', '20180222-24NYooVH-VG__R9F8_RN1RP3')",76492,2220,0.9717959142189246
"('VT2', '20180222-24OOooVH-VG__R9F11_RN1RP3')",76492,2220,0.9717959142189246
"('VT3', '20180222-71NYsaSL-VV__R2F8_RN2RP1')",76491,2221,0.97178320967578
"('VT17', '20180222-24WIsaVH-VG__R3F10_RN1RP2')",76490,2222,0.9717705051326354
"('VT9', '20180222-24WIooVL-VG__R9F4_RN1RP3')",76488,2224,0.9717450960463462
"('VT2', '20180222-24OOooVH-VG__R9F10_RN1RP2')",76488,2224,0.9717450960463462
"('VT6', '20180222-71WIooPA-VV__R2F20_RN2RP3')",76488,2224,0.9717450960463462
"('VT6', '20180222-71WIooPA-VV__R2F18_RN2RP1')",76488,2224,0.9717450960463462
"('VT2', '20180222-24OOooVH-VG__R9F9_RN1RP1')",76487,2225,0.9717323915032016
"('VT2', '20180222-24WIooVL-VG__R9F2_RN1RP1')",76487,2225,0.9717323915032016
"('VT8', '20180222-24WIooVL-VG__R9F4_RN1RP3')",76486,2226,0.971719686960057
"('VT15', '20180222-24WIooVH-VG__R5F11_RN1RP2')",76481,2231,0.9716561642443338
"('VT16', '20180222-71OOooPA-VV__R5F1_RN1RP1')",76479,2233,0.9716307551580445
"('VT2', '20180222-24WIooVL-VG__R9F4_RN1RP3')",76476,2236,0.9715926415286106
"('VT10', '20180222-24WIooVH-VG__R5F11_RN1RP2')",76473,2239,0.9715545278991767
"('VT17', '20180222-24WIooVH-VG__R9F1_RN1RP3')",76473,2239,0.9715545278991767
"('VT16', '20180222-71OOooPA-VV__R5F2_RN1RP2')",76473,2239,0.9715545278991767
"('VT13', '20180222-71WIsaSL-VV__R2F2_RN2RP2')",76473,2239,0.9715545278991767
"('VT9', '20180222-71WIsaSL-VV__R2F2_RN2RP2')",76469,2243,0.9715037097265983
"('VT16', '20180222-71OOooPA-VV__R5F3_RN1RP3')",76469,2243,0.9715037097265983
"('VT5', '20180222-71WIsaSV-VV__R2F4_RN2RP1')",76469,2243,0.9715037097265983
"('VT15', '20180222-24WIooVH-VG__R5F10_RN1RP1')",76468,2244,0.9714910051834535
"('VT13', '20180222-71WIsaSL-VV__R2F1_RN2RP1')",76466,2246,0.9714655960971643
"('VT11', '20180222-24WIooVH-VG__R5F11_RN1RP2')",76464,2248,0.9714401870108751
"('VT13', '20180222-71WIsaSL-VV__R2F3_RN2RP3')",76463,2249,0.9714274824677305
"('VT8', '20180222-71WIsaSL-VV__R2F2_RN2RP2')",76462,2250,0.9714147779245859
"('VT10', '20180222-24WIooVH-VG__R5F10_RN1RP1')",76461,2251,0.9714020733814412
"('VT9', '20180222-71WIsaSL-VV__R2F1_RN2RP1')",76459,2253,0.9713766642951519
"('VT5', '20180222-71NYsaSL-VV__R2F8_RN2RP1')",76457,2255,0.9713512552088627
"('VT9', '20180222-71WIsaSL-VV__R2F3_RN2RP3')",76457,2255,0.9713512552088627
"('VT13', '20180222-24WIsaVH-VG__R3F11_RN1RP3')",76455,2257,0.9713258461225734
"('VT2', '20180222-71WIsaSL-VV__R2F2_RN2RP2')",76453,2259,0.9713004370362842
