,Positive,Negative,Proportion
"('VT17', '20180222-24WIooVH-VG__R5F11_RN1RP2')",0,2296,0.0
"('VT17', '20180222-71WIsaSV-VV__R2F4_RN2RP1')",0,2381,0.0
"('VT17', '20180222-71WIooPA-VV__R2F19_RN2RP2')",0,1908,0.0
"('VT16', '20180222-71WIsaSL-VV__R2F2_RN2RP2')",0,2498,0.0
"('VT9', '20180222-71WIooPA-VV__R2F19_RN2RP2')",0,1972,0.0
"('VT16', '20180222-24OOsaVH-VG__R3F20_RN1RP3')",0,2753,0.0
"('VT8', '20180222-71OOooPA-VV__R5F3_RN1RP3')",0,2036,0.0
"('VT8', '20180222-71OOooPA-VV__R5F2_RN1RP2')",0,2032,0.0
"('VT8', '20180222-71OOooPA-VV__R5F1_RN1RP1')",0,2026,0.0
"('VT16', '20180222-71OOooPA-VV__R5F2_RN1RP2')",0,2260,0.0
"('VT16', '20180222-71OOooPA-VV__R5F3_RN1RP3')",0,2264,0.0
"('VT16', '20180222-71WIooPA-VV__R2F18_RN2RP1')",0,2209,0.0
"('VT8', '20180222-24OOooVH-VG__R9F11_RN1RP3')",0,2225,0.0
"('VT8', '20180222-24OOooVH-VG__R9F10_RN1RP2')",0,2229,0.0
"('VT8', '20180222-24OOooVH-VG__R9F9_RN1RP1')",0,2230,0.0
"('VT16', '20180222-71WIooPA-VV__R2F19_RN2RP2')",0,2203,0.0
"('VT16', '20180222-71WIooPA-VV__R2F20_RN2RP3')",0,2209,0.0
"('VT8', '20180222-24NYooVH-VG__R9F5_RN1RP1')",0,2219,0.0
"('VT8', '20180222-24WIsaVH-VG__R3F11_RN1RP3')",0,2284,0.0
"('VT8', '20180222-24WIsaVH-VG__R3F10_RN1RP2')",0,2297,0.0
"('VT8', '20180222-24WIsaVH-VG__R3F9_RN1RP1')",0,2291,0.0
"('VT14', '20180222-24NYooVH-VG__R9F5_RN1RP1')",0,2083,0.0
"('VT16', '20180222-24WIooVL-VG__R9F4_RN1RP3')",0,2474,0.0
"('VT16', '20180222-24WIooVH-VG__R9F1_RN1RP3')",0,2546,0.0
"('VT16', '20180222-24WIooVH-VG__R5F10_RN1RP1')",0,2603,0.0
"('VT16', '20180222-24WIooVH-VG__R5F11_RN1RP2')",0,2592,0.0
"('VT14', '20180222-24WIsaVH-VG__R3F11_RN1RP3')",0,2145,0.0
"('VT9', '20180222-71WIooPA-VV__R2F18_RN2RP1')",0,1978,0.0
"('VT16', '20180222-24OOsaVH-VG__R3F18_RN1RP1')",0,6043,0.0
"('VT16', '20180222-24OOooVH-VG__R9F11_RN1RP3')",0,2457,0.0
"('VT10', '20180222-24OOooVH-VG__R9F10_RN1RP2')",0,2125,0.0
"('VT14', '20180222-24OOooVH-VG__R9F9_RN1RP1')",0,2092,0.0
"('VT11', '20180222-71WIooPA-VV__R2F20_RN2RP3')",0,1884,0.0
"('VT12', '20180222-24WIsaVH-VG__R3F11_RN1RP3')",0,2130,0.0
"('VT10', '20180222-71OOooPA-VV__R5F3_RN1RP3')",0,1927,0.0
"('VT10', '20180222-71OOooPA-VV__R5F2_RN1RP2')",0,1923,0.0
"('VT3', '20180222-71WIsaSV-VV__R2F5_RN2RP2')",0,2468,0.0
"('VT3', '20180222-71WIsaSV-VV__R2F6_RN2RP3')",0,2748,0.0
"('VT10', '20180222-71OOooPA-VV__R5F1_RN1RP1')",0,1917,0.0
"('VT11', '20180222-24NYooVH-VG__R9F6_RN1RP2')",0,2129,0.0
"('VT10', '20180222-71WIooPA-VV__R2F20_RN2RP3')",0,1872,0.0
"('VT3', '20180222-71OOooPA-VV__R5F2_RN1RP2')",0,1809,0.0
"('VT2', '20180222-24WIooVH-VG__R5F10_RN1RP1')",0,2375,0.0
"('VT1', '20180222-24WIooVL-VG__R9F3_RN1RP2')",0,2325,0.0
"('VT11', '20180222-71WIooPA-VV__R2F19_RN2RP2')",0,1878,0.0
"('VT3', '20180222-71OOooPA-VV__R5F1_RN1RP1')",0,1803,0.0
"('VT11', '20180222-71WIooPA-VV__R2F18_RN2RP1')",0,1884,0.0
"('VT3', '20180222-24OOooVH-VG__R9F9_RN1RP1')",0,2007,0.0
"('VT2', '20180222-71OOooPA-VV__R5F3_RN1RP3')",0,2036,0.0
"('VT11', '20180222-24NYooVH-VG__R9F5_RN1RP1')",0,2127,0.0
"('VT1', '20180222-24WIsaVL-VG__R3F13_RN1RP2')",0,4343,0.0
"('VT2', '20180222-24WIooVH-VG__R5F11_RN1RP2')",0,2362,0.0
"('VT1', '20180222-71WIooPA-VV__R2F18_RN2RP1')",0,2086,0.0
"('VT12', '20180222-24WIsaVH-VG__R3F10_RN1RP2')",0,2141,0.0
"('VT2', '20180222-71WIooPA-VV__R2F18_RN2RP1')",0,1981,0.0
"('VT10', '20180222-71WIooPA-VV__R2F19_RN2RP2')",0,1866,0.0
"('VT11', '20180222-24OOooVH-VG__R9F9_RN1RP1')",0,2138,0.0
"('VT3', '20180222-71WIooPA-VV__R2F18_RN2RP1')",0,1758,0.0
"('VT3', '20180222-71WIooPA-VV__R2F19_RN2RP2')",0,1752,0.0
"('VT3', '20180222-71WIooPA-VV__R2F20_RN2RP3')",0,1758,0.0
"('VT1', '20180222-24WIooVH-VG__R5F10_RN1RP1')",0,2476,0.0
"('VT2', '20180222-71WIsaSV-VV__R2F4_RN2RP1')",0,2449,0.0
"('VT11', '20180222-24WIooVL-VG__R9F2_RN1RP1')",0,2140,0.0
"('VT11', '20180222-24NYooVH-VG__R9F8_RN1RP3')",0,2132,0.0
"('VT11', '20180222-24WIooVL-VG__R9F3_RN1RP2')",0,2126,0.0
"('VT1', '20180222-71WIooPA-VV__R2F20_RN2RP3')",0,2086,0.0
"('VT3', '20180222-71OOooPA-VV__R5F3_RN1RP3')",0,1813,0.0
"('VT10', '20180222-24WIooVH-VG__R5F10_RN1RP1')",0,2265,0.0
"('VT1', '20180222-24WIooVH-VG__R5F11_RN1RP2')",0,2465,0.0
"('VT10', '20180222-71WIooPA-VV__R2F18_RN2RP1')",0,1872,0.0
"('VT2', '20180222-71WIooPA-VV__R2F20_RN2RP3')",0,1981,0.0
"('VT1', '20180222-71WIooPA-VV__R2F19_RN2RP2')",0,2080,0.0
"('VT2', '20180222-71WIooPA-VV__R2F19_RN2RP2')",0,1975,0.0
"('VT11', '20180222-71WIsaSL-VV__R2F2_RN2RP2')",0,2173,0.0
"('VT3', '20180222-24NYooVH-VG__R9F8_RN1RP3')",0,2002,0.0
"('VT2', '20180222-24OOsaVH-VG__R3F20_RN1RP3')",0,2524,0.0
"('VT11', '20180222-24OOooVH-VG__R9F10_RN1RP2')",0,2137,0.0
"('VT1', '20180222-71WIsaSV-VV__R2F5_RN2RP2')",0,2795,0.0
"('VT1', '20180222-24NYooVH-VG__R9F5_RN1RP1')",0,2327,0.0
"('VT10', '20180222-24OOooVH-VG__R9F11_RN1RP3')",0,2120,0.0
"('VT3', '20180222-24OOsaVH-VG__R3F18_RN1RP1')",0,5591,0.0
"('VT2', '20180222-24OOooVH-VG__R9F11_RN1RP3')",0,2229,0.0
"('VT11', '20180222-24OOooVH-VG__R9F11_RN1RP3')",0,2132,0.0
"('VT11', '20180222-24WIsaVH-VG__R3F11_RN1RP3')",0,2191,0.0
"('VT2', '20180222-24NYooVH-VG__R9F5_RN1RP1')",0,2225,0.0
"('VT11', '20180222-24OOsaVH-VG__R3F18_RN1RP1')",0,5718,0.0
"('VT10', '20180222-24WIooVH-VG__R5F11_RN1RP2')",0,2253,0.0
"('VT1', '20180222-24OOooVH-VG__R9F11_RN1RP3')",0,2330,0.0
"('VT2', '20180222-24NYooVH-VG__R9F6_RN1RP2')",0,2227,0.0
"('VT2', '20180222-24WIsaVL-VG__R3F14_RN1RP3')",0,6291,0.0
"('VT11', '20180222-24WIooVH-VG__R9F1_RN1RP3')",0,2220,0.0
"('VT12', '20180222-24NYooVH-VG__R9F8_RN1RP3')",0,2071,0.0
"('VT2', '20180222-71OOooPA-VV__R5F2_RN1RP2')",0,2032,0.0
"('VT11', '20180222-71OOooPA-VV__R5F2_RN1RP2')",0,1934,0.0
"('VT10', '20180222-24WIooVL-VG__R9F2_RN1RP1')",0,2128,0.0
"('VT2', '20180222-24NYooVH-VG__R9F8_RN1RP3')",0,2230,0.0
"('VT10', '20180222-24WIooVL-VG__R9F4_RN1RP3')",0,2138,0.0
"('VT2', '20180222-71OOooPA-VV__R5F1_RN1RP1')",0,2026,0.0
"('VT10', '20180222-24WIooVL-VG__R9F3_RN1RP2')",0,2114,0.0
"('VT3', '20180222-24NYooVH-VG__R9F5_RN1RP1')",0,1997,0.0
"('VT12', '20180222-24NYooVH-VG__R9F5_RN1RP1')",0,2066,0.0
"('VT1', '20180222-24NYooVH-VG__R9F6_RN1RP2')",0,2329,0.0
"('VT11', '20180222-24WIooVL-VG__R9F4_RN1RP3')",0,2150,0.0
"('VT10', '20180222-24OOsaVH-VG__R3F20_RN1RP3')",0,2415,0.0
"('VT22', '20180222-71WIooPA-VV__R2F20_RN2RP3')",1,65712,1.521768904174212e-05
"('VT4', '20180222-70OOooVH-VT__R7F4_RN1RP3')",1,33739,2.963841138114997e-05
"('VT13', '20180222-70OOooVH-VT__R7F4_RN1RP3')",1,33619,2.97441998810232e-05
"('VT5', '20180222-70OOooVH-VT__R7F4_RN1RP3')",1,33545,2.9809813390568175e-05
"('VT22', '20180222-71WIooPA-VV__R2F18_RN2RP1')",2,65711,3.043537808348424e-05
"('VT22', '20180222-71WIooPA-VV__R2F19_RN2RP2')",3,65709,4.565376186997809e-05
"('VT25', '20180222-71WIooPA-VV__R2F18_RN2RP1')",3,65272,4.595940252776714e-05
"('VT29', '20180222-71WIooPA-VV__R2F18_RN2RP1')",3,57069,5.256518082422203e-05
"('VT1', '20180222-70OOooVH-VT__R7F4_RN1RP3')",2,33707,5.933133584502655e-05
"('VT10', '20180222-70OOooVH-VT__R7F4_RN1RP3')",2,33565,5.9582327881550334e-05
"('VT34', '20180222-71WIooPA-VV__R2F19_RN2RP2')",4,52819,7.572458966737974e-05
"('VT25', '20180222-71WIooPA-VV__R2F20_RN2RP3')",5,65269,7.66001777124123e-05
"('VT21', '20180222-71WIooPA-VV__R2F19_RN2RP2')",5,65253,7.661895859511478e-05
"('VT27', '20180222-71WIooPA-VV__R2F20_RN2RP3')",5,65231,7.66447973511558e-05
"('VT24', '20180222-71WIooPA-VV__R2F20_RN2RP3')",5,64153,7.793260388416098e-05
"('VT23', '20180222-71WIooPA-VV__R2F18_RN2RP1')",5,63926,7.820931942250239e-05
"('VT26', '20180222-71WIooPA-VV__R2F19_RN2RP2')",5,63441,7.880717460517605e-05
"('VT46', '20180222-71WIooPA-VV__R2F18_RN2RP1')",4,50109,7.981960768662822e-05
"('VT28', '20180222-71WIooPA-VV__R2F19_RN2RP2')",4,47699,8.385216862671111e-05
"('VT20', '20180222-71WIooPA-VV__R2F20_RN2RP3')",6,67443,8.895610016456878e-05
"('VT8', '20180222-70OOooVH-VT__R7F4_RN1RP3')",3,33620,8.922463789667787e-05
"('VT11', '20180222-70OOooVH-VT__R7F4_RN1RP3')",3,33585,8.931761343336905e-05
"('VT17', '20180222-70OOooVH-VT__R7F4_RN1RP3')",3,33584,8.932027272456605e-05
"('VT14', '20180222-70OOooVH-VT__R7F4_RN1RP3')",3,33544,8.942677437624825e-05
"('VT3', '20180222-70OOooVH-VT__R7F4_RN1RP3')",3,33532,8.945877441479052e-05
"('VT12', '20180222-70OOooVH-VT__R7F4_RN1RP3')",3,33516,8.950147677436678e-05
"('VT19', '20180222-71WIooPA-VV__R2F20_RN2RP3')",6,65504,9.158907037093573e-05
"('VT19', '20180222-71WIooPA-VV__R2F18_RN2RP1')",6,65504,9.158907037093573e-05
"('VT25', '20180222-71OOooPA-VV__R5F3_RN1RP3')",6,65272,9.191458071632097e-05
"('VT21', '20180222-71WIooPA-VV__R2F18_RN2RP1')",6,65254,9.193993257738278e-05
"('VT27', '20180222-71WIooPA-VV__R2F18_RN2RP1')",6,65230,9.197375682138697e-05
